Binomial
Acmella oleraca
Allium tricoccum
Amorpha fruticosa
Amsonia taberneamontana
Anaphalis margaritacea
Andropogon scoparius 'Prairie Blues'
Andropogon virginicus
Anemone virginiana
Anemonella thalictroides
Angelica atropurpureum
Antennaria plantaginifolia
Aquilegia canadensis
Aralia racemosa
Arisaema triphyllum
Asarum canadense
Baptisia alba
Carex pensylvatica
Bromus pubescens
Carex radiata
Castilleja coccinea
Chamaemelum nobile
Chrysogonum virginianum
Ceanothus americanus
Clematis ochroleuca
Cinna arundinacea
Echinops bannaticus 'Blue Glow'
Eragrostis elliottii 'Wind Dancer'
Eragrostis spectabilis
Eryngium giganteum 'Miss Wilmott's Ghost'
Eryngium planum 'Blue Glitter'
Diarrhena americana
Eutrochium pupureum
Eutrochium maculatum
Galium odoratum
Heirochloe odorata
Heliotropum arborescens 'Marine'
Heliotropum arborescens 'Ogrodowy'
Frasera caroliniensis
Lavandula angustifolia 'Munstead'
Liatrus spicata
Lobularia maritima 'Snow Crystals'
Lupinus perannis
Maclura pomifera
Hydrastis canadensis
Muhlenbergia capillaris
Nigella damascena 'Miss Jekyll' mix
Jacobaea maritima
Mentha requienii
Packera anonyma
Mertensia virginica
Oligoneuron album
Oligoneuron rigidum
Ruella humilis
Osmorhiza claytonii
Osmorhiza longistylis
Pedicularis canadensis
Phlox divaricata
Polemonium reptans
Sporobolus heterolepsis
"Stachys byzantina 'Pure Cotton, Simba'"
Sanguinaria canadensis
Talinum paniculatum
Schizachyrium scoparium
Tropaeolum majus 'Milkmaid'
Urtica dioica
Scutellaria leonardii
Sisyrinchium albidum
Sisyrinchium angustifolium
Taenidia integerrima
Tephrosia virginiana
Uvularia grandiflora
Veronicastrum virginicum
